id_penerbit;nama_penerbit;tempat_penerbit
PE189;Penerbit tidak tersedia;Informasi tidak tersedia
PE190;Penerbit tidak tersedia;Informasi tidak tersedia
PE191;Penerbit tidak tersedia;Informasi tidak tersedia
PE192;Penerbit tidak tersedia;Informasi tidak tersedia
PE193;Penerbit tidak tersedia;Informasi tidak tersedia
PE194;Penerbit tidak tersedia;Informasi tidak tersedia
PE195;Penerbit tidak tersedia;Informasi tidak tersedia
PE196;Penerbit tidak tersedia;Informasi tidak tersedia
PE197;Penerbit tidak tersedia;Informasi tidak tersedia
PE198;Penerbit tidak tersedia;Informasi tidak tersedia
PE199;Penerbit tidak tersedia;Informasi tidak tersedia
PE200;Penerbit tidak tersedia;Informasi tidak tersedia
PE201;Penerbit tidak tersedia;Informasi tidak tersedia
PE202;Penerbit tidak tersedia;Informasi tidak tersedia
PE203;Penerbit tidak tersedia;Informasi tidak tersedia
PE204;Penerbit tidak tersedia;Informasi tidak tersedia
PE205;Penerbit tidak tersedia;Informasi tidak tersedia
PE206;Penerbit tidak tersedia;Informasi tidak tersedia
PE207;Penerbit tidak tersedia;Informasi tidak tersedia
PE208;Penerbit tidak tersedia;Informasi tidak tersedia
PE209;Penerbit tidak tersedia;Informasi tidak tersedia
PE210;Penerbit tidak tersedia;Informasi tidak tersedia
PE211;Penerbit tidak tersedia;Informasi tidak tersedia
PE212;Penerbit tidak tersedia;Informasi tidak tersedia
PE213;Penerbit tidak tersedia;Informasi tidak tersedia
PE214;Penerbit tidak tersedia;Informasi tidak tersedia
PE215;Penerbit tidak tersedia;Informasi tidak tersedia
PE216;Penerbit tidak tersedia;Informasi tidak tersedia
PE217;Penerbit tidak tersedia;Informasi tidak tersedia
PE218;Penerbit tidak tersedia;Informasi tidak tersedia
PE219;Penerbit tidak tersedia;Informasi tidak tersedia
PE220;Penerbit tidak tersedia;Informasi tidak tersedia
PE221;Penerbit tidak tersedia;Informasi tidak tersedia
PE222;Penerbit tidak tersedia;Informasi tidak tersedia
PE223;Penerbit tidak tersedia;Informasi tidak tersedia
PE224;Penerbit tidak tersedia;Informasi tidak tersedia
PE225;Penerbit tidak tersedia;Informasi tidak tersedia
PE226;Penerbit tidak tersedia;Informasi tidak tersedia
PE227;Penerbit tidak tersedia;Informasi tidak tersedia
PE228;Penerbit tidak tersedia;Informasi tidak tersedia
PE229;Penerbit tidak tersedia;Informasi tidak tersedia
PE230;Penerbit tidak tersedia;Informasi tidak tersedia
PE231;Penerbit tidak tersedia;Informasi tidak tersedia
PE232;Penerbit tidak tersedia;Informasi tidak tersedia
PE233;Penerbit tidak tersedia;Informasi tidak tersedia
PE234;Penerbit tidak tersedia;Informasi tidak tersedia
PE235;Penerbit tidak tersedia;Informasi tidak tersedia
PE236;Penerbit tidak tersedia;Informasi tidak tersedia
PE237;Penerbit tidak tersedia;Informasi tidak tersedia
PE238;Penerbit tidak tersedia;Informasi tidak tersedia
PE239;Penerbit tidak tersedia;Informasi tidak tersedia
PE240;Penerbit tidak tersedia;Informasi tidak tersedia
PE241;Penerbit tidak tersedia;Informasi tidak tersedia
PE242;Penerbit tidak tersedia;Informasi tidak tersedia
PE243;Penerbit tidak tersedia;Informasi tidak tersedia
PE244;Penerbit tidak tersedia;Informasi tidak tersedia
PE245;Penerbit tidak tersedia;Informasi tidak tersedia
PE246;Penerbit tidak tersedia;Informasi tidak tersedia
PE247;Penerbit tidak tersedia;Informasi tidak tersedia
PE248;Penerbit tidak tersedia;Informasi tidak tersedia
PE249;Penerbit tidak tersedia;Informasi tidak tersedia
PE250;Penerbit tidak tersedia;Informasi tidak tersedia
PE251;Penerbit tidak tersedia;Informasi tidak tersedia
PE252;Penerbit tidak tersedia;Informasi tidak tersedia
PE253;Penerbit tidak tersedia;Informasi tidak tersedia
